w2,w1,count_w1_w2,count_w1,count_w2,pmi,sppmi,k11,k12,k21,k22,row1,row2,col1,col2,LLR_Score
átha,béal,338,479,503,6.595908702021472,5.595908702021472,338,141,165,68309,479,68474,503,68450,3052.946477504199
uí,baile,1270,8348,2121,2.3061946922501324,1.3061946922501324,1270,7078,851,59754,8348,60605,2121,66832,2875.503517273127
tí,áit,54,62,152,8.626089379614003,7.626089379614003,54,8,98,68793,62,68891,152,68801,634.9385825296226
nua,baile,280,8348,470,2.298876886501126,1.2988768865011262,280,8068,190,60415,8348,60605,470,68483,604.0900897373565
bhfianna,páirc,60,599,64,6.753804104100729,5.753804104100729,60,539,4,68350,599,68354,64,68889,545.816918776802
chaol,cheathrú,49,300,73,7.269392296020305,6.269392296020305,49,251,24,68629,300,68653,73,68880,449.0218364497768
giolla,mac,55,980,58,6.060066480675512,5.060066480675512,55,925,3,67970,980,67973,58,68895,447.4693710879384
mac,baile,368,8348,981,1.6315634459589339,0.6315634459589339,368,7980,613,59992,8348,60605,981,67972,422.7544627650542
bhríde,cill,70,2693,107,4.066143217323143,3.066143217323143,70,2623,37,66223,2693,66260,107,68846,320.6376995244925
dhiarmada,leaba,23,59,40,9.392316513088804,8.392316513088804,23,36,17,68877,59,68894,40,68913,280.8199657536094
caoin,cluain,60,1448,141,4.340819057407514,3.340819057407514,60,1388,81,67424,1448,67505,141,68812,277.0290028780229
cille,cholm,22,22,145,8.89341661126606,7.89341661126606,22,0,123,68808,22,68931,145,68808,274.7494833498466
choileáin,uí,42,2137,46,4.880709975342931,3.8807099753429313,42,2095,4,66812,2137,66816,46,68907,265.6897770140927
domhnaigh,rí,20,29,49,9.922562956925576,8.922562956925576,20,9,29,68895,29,68924,49,68904,263.62993284646853
riabhach,cheathrú,46,300,307,5.105974121471947,4.105974121471947,46,254,261,68392,300,68653,307,68646,250.215749184056
mhuire,cill,61,2693,111,3.814648657992103,2.814648657992103,61,2632,50,66210,2693,66260,111,68842,248.0661730379693
dhálaigh,uí,34,2137,34,5.011954508621184,4.011954508621184,34,2103,0,66816,2137,66816,34,68919,236.7605746328329
re,tóin,21,148,26,8.555750040289714,7.555750040289714,21,127,5,68800,148,68805,26,68927,235.73361023089168
gaoith,tóin,23,148,40,8.065506196821696,7.065506196821696,23,125,17,68788,148,68805,40,68913,231.90357822661417
ghráinne,dhiarmada,15,20,28,10.850933279944547,9.850933279944547,15,5,13,68920,20,68933,28,68925,221.8258593710853
ghleann,abhainn,34,519,92,5.61763585811644,4.61763585811644,34,485,58,68376,519,68434,92,68861,214.34605166851475
cholmáin,cill,40,2693,51,4.32782993969519,3.3278299396951896,40,2653,11,66249,2693,66260,51,68902,207.67702567681917
mbreac,loch,37,1826,53,4.720387562362523,3.7203875623625233,37,1789,16,67111,1826,67127,53,68900,205.3725724114397
mór,choill,75,258,2525,2.9888494638271017,1.9888494638271017,75,183,2450,66245,258,68695,2525,66428,200.48793148725287
uirbeach,uimh,15,15,94,9.518736849603357,8.518736849603357,15,0,79,68859,15,68938,94,68859,200.46549005606397
gaoith,re,15,26,40,9.957848483861058,8.957848483861058,15,11,25,68902,26,68927,40,68913,194.6477456718914
nua,caisleán,49,480,470,3.9046280032226846,2.9046280032226846,49,431,421,68052,480,68473,470,68483,182.9774410746423
átha,bhéal,26,54,503,6.044463327453091,5.044463327453091,26,28,477,68422,54,68899,503,68450,182.83175898630424
sin,paróiste,19,84,63,7.951655868445904,6.951655868445904,19,65,44,68825,84,68869,63,68890,182.5981789009059
finn,suí,14,38,31,9.678556799508138,8.678556799508138,14,24,17,68898,38,68915,31,68922,173.36773630818487
rua,mhóin,33,117,694,4.808563248477783,3.8085632484777827,33,84,661,68175,117,68836,694,68259,167.51165368398392
breac,cnoc,52,2293,154,3.343958239146392,2.343958239146392,52,2241,102,66558,2293,66660,154,68799,164.91256697162163
cheallaigh,uí,32,2137,48,4.426992007900028,3.4269920079000276,32,2105,16,66800,2137,66816,48,68905,162.69149404324463
mór,domhnach,40,82,2525,3.7356341190237536,2.7356341190237536,40,42,2485,66386,82,68871,2525,66428,154.64715676536292
finne,bó,13,34,39,9.4009003593095,8.4009003593095,13,21,26,68893,34,68919,39,68914,154.11340594057876
geal,teampall,21,305,59,6.330334642247665,5.330334642247665,21,284,38,68610,305,68648,59,68894,152.64128952132432
baile,páirc,46,599,445,3.572813938695462,2.572813938695462,46,553,399,67955,599,68354,445,68508,150.80936219790468
aodha,mac,36,980,148,4.097159398091787,3.0971593980917866,36,944,112,67861,980,67973,148,68805,146.45563748948547
baiste,eoin,8,12,8,12.488363200559839,11.488363200559839,8,4,0,68941,12,68941,8,68945,145.71055336255122
abhann,bun,16,291,24,7.303487857651554,6.303487857651554,16,275,8,68654,291,68662,24,68929,145.37529948655174
uabhar,dún,19,667,27,6.184822761376527,5.184822761376527,19,648,8,68278,667,68286,27,68926,144.13572023146344
chaisleáin,ceathrú,30,452,179,4.676221557210069,3.676221557210069,30,422,149,68352,452,68501,179,68774,143.66947009959716
muire,tobar,18,514,27,6.4827386513659615,5.4827386513659615,18,496,9,68430,514,68439,27,68926,142.7538221971595
gaoth,bearna,18,86,132,6.7725918286627556,5.7725918286627556,18,68,114,68753,86,68867,132,68821,139.855234636955
móin,baile,87,8348,188,1.9344654602922509,0.9344654602922509,87,8261,101,60504,8348,60605,188,68765,134.43717701566965
ghainimh,clais,15,93,60,7.534166890172963,6.534166890172963,15,78,45,68815,93,68860,60,68893,133.43692388561178
maonais,ráth,16,1086,16,5.988517313476634,4.988517313476634,16,1070,0,67867,1086,67867,16,68937,133.06274526805817
muclach,corr,18,503,36,6.098911111475468,5.098911111475468,18,485,18,68432,503,68450,36,68917,128.1361215253233
mainistreach,fearann,18,388,46,6.119775904479166,5.119775904479166,18,370,28,68537,388,68565,46,68907,126.05314678932787
uisce,lios,33,1124,135,3.9064779033676915,2.9064779033676915,33,1091,102,67727,1124,67829,135,68818,125.75109413976027
áth,droichead,20,444,62,5.646641619431376,4.646641619431376,20,424,42,68467,444,68509,62,68891,125.27047740734365
dubh,garraí,39,308,763,3.5164021326138113,2.5164021326138113,39,269,724,67921,308,68645,763,68190,124.97647642528342
bríde,tobar,17,514,31,6.200967682950581,5.200967682950581,17,497,14,68425,514,68439,31,68922,124.64718328632219
mhuilinn,baile,96,8348,235,1.7545563702773161,0.7545563702773161,96,8252,139,60466,8348,60605,235,68718,124.02353925323727
fhloinn,uí,20,2137,23,4.810320647451533,3.810320647451533,20,2117,3,66813,2137,66816,23,68930,121.51823837125961
chuáin,cill,23,2693,29,4.343908147708763,3.3439081477087633,23,2670,6,66254,2693,66260,29,68924,120.26148352268902
chuinn,uí,17,2137,17,5.011954508621184,4.011954508621184,17,2120,0,66816,2137,66816,17,68936,118.24815739503998
phádraig,tobar,24,514,125,4.686879368146186,3.6868793681461858,24,490,101,68338,514,68439,125,68828,115.44472393176287
thiar,mór,38,224,1146,3.351506963910071,2.351506963910071,38,186,1108,67621,224,68729,1146,67807,114.69109380466307
thomáis,baile,40,8348,53,2.6401184564453226,1.6401184564453226,40,8308,13,60592,8348,60605,53,68900,113.3695972335525
dubh,charraig,34,251,763,3.6137057417460317,2.6137057417460317,34,217,729,67973,251,68702,763,68190,113.30110129775326
eich,léim,11,58,37,8.465322959161771,7.465322959161771,11,47,26,68869,58,68895,37,68916,113.00895836254873
eich,ceann,14,251,37,6.699683703758878,5.699683703758878,14,237,23,68679,251,68702,37,68916,109.11019208413764
baile,diméin,22,123,445,4.792581288725292,3.792581288725292,22,101,423,68407,123,68830,445,68508,108.70285160319312
choiscéim,carraig,13,819,14,6.288690855723474,5.288690855723474,13,806,1,68133,819,68134,14,68939,108.28410131398337
coille,tigh,23,285,223,4.641169648365598,3.641169648365598,23,262,200,68468,285,68668,223,68730,107.86688119071846
dearg,bhearna,11,30,91,8.118072084111077,7.118072084111077,11,19,80,68843,30,68923,91,68862,107.86670610991584
liath,charraig,24,251,295,4.4821735038021755,3.4821735038021755,24,227,271,68431,251,68702,295,68658,107.28917474918092
sheáin,baile,56,8348,103,2.1669652109955453,1.1669652109955453,56,8292,47,60558,8348,60605,103,68850,106.86575258410005
chúile,cill,22,2693,31,4.183562495029745,3.1835624950297454,22,2671,9,66251,2693,66260,31,68922,106.2151497482146
bhán,cheathrú,24,300,253,4.44647593681196,3.44647593681196,24,276,229,68424,300,68653,253,68700,106.09691140555957
dhonnagáin,uí,17,2137,19,4.8514898364279375,3.8514898364279375,17,2120,2,66814,2137,66816,19,68934,105.58626430844899
móir,tí,12,134,37,7.382745645915429,6.382745645915429,12,122,25,68794,134,68819,37,68916,104.40851065269084
mhurchú,uí,22,2137,37,4.261932761629531,3.261932761629531,22,2115,15,66801,2137,66816,37,68916,104.05167568506417
dhuach,mac,12,980,12,6.136687762278425,5.136687762278425,12,968,0,67973,980,67973,12,68941,102.23252141416046
leathan,doire,24,876,100,4.239644952626253,3.2396449526262527,24,852,76,68001,876,68077,100,68853,101.8899295392449
liath,chorr,19,131,295,5.0832590689379265,4.0832590689379265,19,112,276,68546,131,68822,295,68658,100.93555671165498
chríochach,chorr,8,131,8,9.039902699743545,8.039902699743545,8,123,0,68822,131,68822,8,68945,100.75361081156848
reannach,leadhb,5,6,5,13.488363200559839,12.488363200559839,5,1,0,68947,6,68947,5,68948,99.91032771500572
buí,bóthar,21,155,364,4.6817240785868215,3.6817240785868215,21,134,343,68455,155,68798,364,68589,99.84565310479874
bhreac,chloch,12,95,60,7.181541998062685,6.181541998062685,12,83,48,68810,95,68858,60,68893,99.74456859405188
caitríona,sin,7,63,7,10.096045777781079,9.096045777781079,7,56,0,68890,63,68890,7,68946,98.7802286728527
chearnaigh,uí,18,2137,24,4.596917009342341,3.5969170093423406,18,2119,6,66810,2137,66816,24,68929,98.59472668650903
fearta,cluain,16,1448,22,5.114048195560492,4.114048195560492,16,1432,6,67499,1448,67505,22,68931,98.26746800451848
chéin,uí,14,2137,14,5.011954508621184,4.011954508621184,14,2123,0,66816,2137,66816,14,68939,97.36169542748807
gheal,cathair,11,341,16,7.119129390894119,6.119129390894119,11,330,5,68607,341,68612,16,68937,97.33473515712397
leacach,táth,8,38,18,9.655473186395097,8.655473186395097,8,30,10,68905,38,68915,18,68935,97.15134118606753
thoir,mór,34,224,1115,3.2306056256660627,2.2306056256660627,34,190,1081,67648,224,68729,1115,67838,96.76167667243674
oileáin,loch,24,1826,59,3.9411741026560874,2.9411741026560874,24,1802,35,67092,1826,67127,59,68894,96.73710410305874
caoire,easa,6,25,6,11.42946951150627,10.42946951150627,6,19,0,68928,25,68928,6,68947,96.63853255970567
gharbh,choill,16,258,91,5.554303805659044,4.554303805659044,16,242,75,68620,258,68695,91,68862,95.73018098885692
teampaill,baile,67,8348,153,1.8548121638862802,0.8548121638862802,67,8281,86,60519,8348,60605,153,68800,95.70829600154268
ádaim,mac,12,980,13,6.021210544858488,5.021210544858488,12,968,1,67972,980,67973,13,68940,95.20987891931671
bhán,leaca,16,95,253,5.5204765182557365,4.5204765182557365,16,79,237,68621,95,68858,253,68700,94.8829156193246
braoin,daraidh,5,5,8,13.073325701280996,12.073325701280996,5,0,3,68945,5,68948,8,68945,94.73205041095699
uinseogach,chorr,8,131,9,8.869977698301232,7.869977698301232,8,123,1,68821,131,68822,9,68944,94.47820436038525
caoch,mbreac,8,36,22,9.443969081201386,8.443969081201386,8,28,14,68903,36,68917,22,68931,94.01822386581587
fhiachrach,chruimthir,5,5,9,12.903400699838683,11.903400699838683,5,0,4,68944,5,68948,9,68944,92.95175384276064
árann,tiobraid,7,18,20,10.388827527008925,9.388827527008925,7,11,13,68922,18,68935,20,68933,92.78241088781763
tarbh,cluain,14,1448,17,5.293371895005055,4.293371895005055,14,1434,3,67502,1448,67505,17,68936,92.58587605961539
pádraig,tobar,15,514,43,5.548326992993537,4.548326992993537,15,499,28,68411,514,68439,43,68910,92.19617059184759
ógáin,uí,16,2137,20,4.690026413733822,3.690026413733822,16,2121,4,66812,2137,66816,20,68933,91.5190038105232
uallacháin,uí,16,2137,20,4.690026413733822,3.690026413733822,16,2121,4,66812,2137,66816,20,68933,91.5190038105232
beag,choill,40,258,1558,2.7785470226834335,1.7785470226834335,40,218,1518,67177,258,68695,1558,67395,91.3645171824369
chnoic,tigh,17,285,120,5.099079837870711,4.099079837870711,17,268,103,68565,285,68668,120,68833,90.53455831267004
chlúmháin,uí,14,2137,15,4.912418835070269,3.9124188350702687,14,2123,1,66815,2137,66816,15,68938,90.07635405012627
dhúgáin,uí,17,2137,24,4.514454849150367,3.5144548491503667,17,2120,7,66809,2137,66816,24,68929,89.71089538929066
mór,toileán,45,220,2525,2.4817514115594905,1.4817514115594905,45,175,2480,66253,220,68733,2525,66428,88.34796273826026
leannáin,uí,15,2137,18,4.74892010278739,3.74892010278739,15,2122,3,66813,2137,66816,18,68935,88.29032626297601
mhichíl,teampall,13,305,45,6.029246890642163,5.029246890642163,13,292,32,68616,305,68648,45,68908,87.67014808836178
mhuire,paróiste,12,84,111,6.471554912873285,5.471554912873285,12,72,99,68770,84,68869,111,68842,87.01176741095794
áth,abhainn,16,519,62,5.099538662536238,4.099538662536238,16,503,46,68388,519,68434,62,68891,86.81869008746796
léinín,iníon,5,7,8,12.587898874110753,11.587898874110753,5,2,3,68943,7,68946,8,68945,86.35645022134061
mhéabha,meascán,5,5,15,12.166435105672477,11.166435105672477,5,0,10,68938,5,68948,15,68938,86.22163717275696
niocláis,sin,8,63,20,8.774117682893717,7.774117682893717,8,55,12,68878,63,68890,20,68933,86.12832124274239
uiséir,cé,6,58,6,10.215344706153424,9.215344706153424,6,52,0,68895,58,68895,6,68947,85.61160010392028
bhradáin,léim,7,58,11,9.56326800957373,8.56326800957373,7,51,4,68891,58,68895,11,68942,85.59596116078464
iolair,nead,7,13,46,9.656678949140494,8.656678949140494,7,6,39,68901,13,68940,46,68907,85.56057731754754
conglais,bealach,7,166,7,8.69828626993407,7.698286269934069,7,159,0,68787,166,68787,7,68946,84.7074054075301
glas,toileán,20,220,314,4.31927333375207,3.3192733337520703,20,200,294,68439,220,68733,314,68639,84.63978240420849
shé,uí,12,2137,12,5.011954508621184,4.011954508621184,12,2125,0,66816,2137,66816,12,68941,83.44195344902013
gharbh,cheathrú,15,300,91,5.243602966194937,4.243602966194937,15,285,76,68577,300,68653,91,68862,83.04808128842657
colláin,stigh,5,20,5,11.751397606393633,10.751397606393633,5,15,0,68933,20,68933,5,68948,82.82365643688236
dubh,lios,55,1124,763,2.144719847750198,1.1447198477501979,55,1069,708,67121,1124,67829,763,68190,82.54048639565583
móire,cille,8,28,54,8.511083277059923,7.511083277059923,8,20,46,68879,28,68925,54,68899,82.2062932768914
fada,charraig,19,251,249,4.389707728705727,3.3897077287057273,19,232,230,68472,251,68702,249,68704,82.13536061428061
mrua,chorca,4,4,5,13.751397606393633,12.751397606393633,4,0,1,68948,4,68949,5,68948,81.03483196518856
rí,tobar,18,514,109,4.469441828752503,3.469441828752503,18,496,91,68348,514,68439,109,68844,80.62670111076241
achaidh,cill,23,2693,52,3.501449424695244,2.501449424695244,23,2670,29,66231,2693,66260,52,68901,80.25504477370967
gcearr,muileann,6,93,6,9.534166890172964,8.534166890172964,6,87,0,68860,93,68860,6,68947,79.69814951424142
bhuí,lorgain,10,27,224,6.8330113719472845,5.8330113719472845,10,17,214,68712,27,68926,224,68729,79.5539391447538
nuan,oileán,13,786,27,5.400492415000012,4.400492415000012,13,773,14,68153,786,68167,27,68926,79.46642807592654
eoin,paróiste,10,84,66,6.958542254031143,5.958542254031143,10,74,56,68813,84,68869,66,68887,79.42356308653731
darach,leacain,9,39,87,7.51490498801233,6.51490498801233,9,30,78,68836,39,68914,87,68866,79.05064790068084
géitine,eas,5,29,5,11.215344706153424,10.215344706153424,5,24,0,68924,29,68924,5,68948,78.65486706349263
cuas,cluain,12,1448,15,5.251551719310427,4.251551719310427,12,1436,3,67502,1448,67505,15,68938,77.9296649871998
baoith,iníne,5,7,15,11.681008278502235,10.681008278502235,5,2,10,68936,7,68946,15,68938,77.84644313044507
habhna,bun,10,291,24,6.6254159525389165,5.6254159525389165,10,281,14,68648,291,68662,24,68929,77.21643151708253
mochua,tigh,9,285,16,7.088432593671204,6.088432593671204,9,276,7,68661,285,68668,16,68937,77.20862360805174
thuaidh,mór,27,224,876,3.246071221785686,2.246071221785686,27,197,849,67880,224,68729,876,68077,76.61459333795753
spealáin,uí,11,2137,11,5.011954508621184,4.011954508621184,11,2126,0,66816,2137,66816,11,68942,76.48345093039832
buaigh,uí,12,2137,13,4.896477291201248,3.896477291201248,12,2125,1,66815,2137,66816,13,68940,76.45364719831397
theas,mór,27,224,888,3.2264424150367534,2.2264424150367534,27,197,861,67868,224,68729,888,68065,75.93796496282303
fada,doire,28,876,249,3.1458916316693446,2.1458916316693446,28,848,221,67856,876,68077,249,68704,75.75932379046014
chuimín,cill,15,2693,20,4.263289687500479,3.263289687500479,15,2678,5,66255,2693,66260,20,68933,75.26634155420814
ruairc,uí,13,2137,16,4.712394226762276,3.7123942267622763,13,2124,3,66813,2137,66816,16,68937,75.14665412785223
búille,mainistir,6,143,6,8.913454364502606,7.913454364502606,6,137,0,68810,143,68810,6,68947,74.39485201742973
lorgan,stigh,6,20,22,9.87692848847749,8.87692848847749,6,14,16,68917,20,68933,22,68931,73.98254083519504
dtamhan,mhistéala,4,4,9,12.903400699838683,11.903400699838683,4,0,5,68944,4,68949,9,68944,73.67354782199638
dhíle,maigh,7,363,7,7.569499963285244,6.569499963285244,7,356,0,68590,363,68590,7,68946,73.59003752623937
dubh,claí,13,33,763,5.153832053229102,4.153832053229102,13,20,750,68170,33,68920,763,68190,73.50837754023662
rua,cnoc,73,2293,694,1.6613377680019574,0.6613377680019574,73,2220,621,66039,2293,66660,694,68259,73.23784321032603
chléirigh,uí,15,2137,24,4.333882603508546,3.3338826035085463,15,2122,9,66807,2137,66816,24,68929,73.13070724858524
mór,cheathrú,48,300,2525,2.1274018389797504,1.1274018389797504,48,252,2477,66176,300,68653,2525,66428,73.0585688734618
abha,bun,9,291,19,6.810447846371438,5.810447846371438,9,282,10,68652,291,68662,19,68934,72.4965610939533
chaisleáin,baile,66,8348,179,1.6066891582153568,0.6066891582153568,66,8282,113,60492,8348,60605,179,68774,72.47887448651556
gceannaithe,cé,6,58,10,9.478379111987216,8.478379111987216,6,52,4,68891,58,68895,10,68943,72.15740283536276
shaileach,droim,12,1146,20,5.173968778357883,4.173968778357883,12,1134,8,67799,1146,67807,20,68933,71.80046567678497
lus,garraithe,4,11,4,12.613894082643696,11.613894082643696,4,7,0,68942,11,68942,4,68949,71.61825717495796
boirche,beanna,4,11,4,12.613894082643696,11.613894082643696,4,7,0,68942,11,68942,4,68949,71.61825717495796
mhaighneann,cill,11,2693,11,4.678327186779323,3.678327186779323,11,2682,0,66260,2693,66260,11,68942,71.38416227678425
glas,chorr,15,131,314,4.652172546460436,3.652172546460436,15,116,299,68523,131,68822,314,68639,70.26061905076071
uidhir,mhig,4,5,8,12.751397606393633,11.751397606393633,4,1,4,68944,5,68948,8,68945,69.94459310841992
dhorcha,bhuaile,6,99,8,9.02893158192254,8.02893158192254,6,93,2,68852,99,68854,8,68945,69.93145484999417
leighin,uí,11,2137,12,4.886423626537325,3.886423626537325,11,2126,1,66815,2137,66816,12,68941,69.66203379574839
chaoimhín,cillín,7,79,20,8.254971780274134,7.2549717802741345,7,72,13,68861,79,68874,20,68933,69.57227815676272
chiabháin,uí,10,2137,10,5.011954508621184,4.011954508621184,10,2127,0,66816,2137,66816,10,68943,69.52586013571431
dhúda,uí,10,2137,10,5.011954508621184,4.011954508621184,10,2127,0,66816,2137,66816,10,68943,69.52586013571431
dhuinn,uí,10,2137,10,5.011954508621184,4.011954508621184,10,2127,0,66816,2137,66816,10,68943,69.52586013571431
maí,fear,6,16,40,9.336360107114789,8.336360107114789,6,10,34,68903,16,68937,40,68913,69.21564411496192
rua,toileán,23,220,694,3.3767360912350872,2.3767360912350872,23,197,671,68062,220,68733,694,68259,68.78234194647408
beag,cealla,9,9,1558,5.467846183219326,4.467846183219326,9,0,1549,67395,9,68944,1558,67395,68.27131434625298
mart,cathair,8,341,13,6.95925805411573,5.95925805411573,8,333,5,68607,341,68612,13,68940,67.86218553293322
mhara,ceann,6,251,6,8.101782147330223,7.101782147330223,6,245,0,68702,251,68702,6,68947,67.53279031762371
dhúin,eanach,7,130,15,7.951422214701626,6.951422214701626,7,123,8,68815,130,68823,15,68938,67.51508108841882
maoilín,steach,5,17,13,10.607351236776925,9.607351236776925,5,12,8,68928,17,68936,13,68940,67.39949285152983
dhoire,loch,18,1826,50,3.76492346296436,2.76492346296436,18,1808,32,67095,1826,67127,50,68903,67.25958011834473
mór,chill,36,185,2525,2.4098015696804755,1.4098015696804755,36,149,2489,66279,185,68768,2525,66428,67.24567250015112
raite,bun,7,291,9,7.525880278988003,6.525880278988003,7,284,2,68660,291,68662,9,68944,67.20083996600147
móire,hairde,5,6,54,10.055403793283732,9.055403793283732,5,1,49,68898,6,68947,54,68899,66.59424090220816
iosóid,séipéal,4,19,4,11.82539818783741,10.82539818783741,4,15,0,68934,19,68934,4,68949,66.48203591456584
sionainnena,uiscebhealach,3,3,3,14.488363200559839,13.488363200559839,3,0,0,68950,3,68950,3,68950,66.25527809413029
héirne,sionainnena,3,3,3,14.488363200559839,13.488363200559839,3,0,0,68950,3,68950,3,68950,66.25527809413029
maola,foraí,3,3,3,14.488363200559839,13.488363200559839,3,0,0,68950,3,68950,3,68950,66.25527809413029
naigín,laoghairean,3,3,3,14.488363200559839,13.488363200559839,3,0,0,68950,3,68950,3,68950,66.25527809413029
mhantach,chloch,5,95,5,9.503470092950048,8.503470092950048,5,90,0,68858,95,68858,5,68948,66.1405726013996
tulach,cill,13,2693,17,4.291304063670076,3.2913040636700757,13,2680,4,66256,2693,66260,17,68936,66.13940238404876
carr,átha,8,437,12,6.71687373105924,5.71687373105924,8,429,4,68512,437,68516,12,68941,65.89997773466226
mhín,chorr,10,131,81,6.021980791746283,5.021980791746283,10,121,71,68751,131,68822,81,68872,65.80282017523052
dubha,carraigeacha,7,38,51,7.960327767923518,6.960327767923518,7,31,44,68871,38,68915,51,68902,65.6712774404242
chnáimhín,uí,11,2137,13,4.770946409117389,3.770946409117389,11,2126,2,66814,2137,66816,13,68940,65.4463462006981
chinnéide,uí,11,2137,13,4.770946409117389,3.770946409117389,11,2126,2,66814,2137,66816,13,68940,65.4463462006981
dara,easa,6,25,33,8.970037892868973,7.970037892868973,6,19,27,68901,25,68928,33,68920,65.36022385957833
bhán,cúl,26,886,253,2.9996089561727586,1.9996089561727586,26,860,227,67840,886,68067,253,68700,65.35573996511327
buachaill,cnocán,7,332,9,7.335716190549362,6.335716190549362,7,325,2,68619,332,68621,9,68944,65.33675259807792
uimh,uirbeach,4,4,22,11.613894082643696,10.613894082643696,4,0,18,68931,4,68949,22,68931,65.17672642633465
leacht,corr,10,503,25,5.7769830165881055,4.7769830165881055,10,493,15,68435,503,68450,25,68928,65.17522788721836
luain,átha,9,437,19,6.223833719779123,5.223833719779123,9,428,10,68506,437,68516,19,68934,65.12553302710265
chonchúir,uí,15,2137,29,4.06086410910213,3.0608641091021296,15,2122,14,66802,2137,66816,29,68924,65.0303985625415
ghobnait,cill,10,2693,10,4.678327186779323,3.678327186779323,10,2683,0,66260,2693,66260,10,68943,64.8911150085703
mbreatnach,baile,21,8348,26,2.7379885207588277,1.7379885207588277,21,8327,5,60600,8348,60605,26,68927,64.55618876932583
bhuí,abhainn,20,519,224,3.5683081457528725,2.5683081457528725,20,499,204,68230,519,68434,224,68729,64.51951337260326
maol,cnoc,21,2293,65,3.2802546714505074,2.2802546714505074,21,2272,44,66616,2293,66660,65,68888,64.29481191127347
síoda,bailte,4,14,5,11.94404268433603,10.94404268433603,4,10,1,68938,14,68939,5,68948,64.28357357768948
chomhartha,craobh,4,14,5,11.94404268433603,10.94404268433603,4,10,1,68938,14,68939,5,68948,64.28357357768948
bhuí,ghlaise,7,12,224,7.488363200559839,6.488363200559839,7,5,217,68724,12,68941,224,68729,64.1647213441309
móir,leitir,8,117,37,6.993507616068641,5.993507616068641,8,109,29,68807,117,68836,37,68916,64.08118108388933
adaim,baile,18,8348,20,2.89410772267611,1.89410772267611,18,8330,2,60603,8348,60605,20,68933,63.55648838909667
mhaoilíona,crois,5,126,5,9.096045777781079,8.096045777781079,5,121,0,68827,126,68827,5,68948,63.24971282869869
pheadair,paróiste,7,84,28,7.681008278502235,6.681008278502235,7,77,21,68848,84,68869,28,68925,63.100799136789746
mhaonaigh,uí,13,2137,21,4.320076803983516,3.3200768039835156,13,2124,8,66808,2137,66816,21,68932,62.99190703584843
féile,mainistir,6,143,9,8.32849186378145,7.32849186378145,6,137,3,68807,143,68810,9,68944,62.94953130975331
ghadhra,uí,10,2137,11,4.874450984871249,3.874450984871249,10,2127,1,66815,2137,66816,11,68942,62.88654146262088
bhán,bhuaile,12,99,253,5.045938007228232,4.045938007228232,12,87,241,68613,99,68854,253,68700,62.645033816359
sin,eaglais,7,38,63,7.655473186395096,6.655473186395096,7,31,56,68859,38,68915,63,68890,62.52401934603681
finn,ail,4,4,31,11.11912939089412,10.11912939089412,4,0,27,68922,4,68949,31,68922,62.19719517601972
mhuineach,chluain,5,62,7,9.633702563723878,8.633702563723878,5,57,2,68889,62,68891,7,68946,62.18215614898441
bhroin,uí,11,2137,14,4.664031205200877,3.664031205200877,11,2126,3,66813,2137,66816,14,68939,62.123157580124385
troim,meathas,4,4,32,11.073325701280995,10.073325701280995,4,0,28,68921,4,68949,32,68921,61.925565880495945
chaonraí,pailís,3,4,3,14.073325701280993,13.073325701280993,3,1,0,68949,4,68949,3,68950,61.756596937346515
fhionn,chloch,7,95,28,7.503470092950047,6.503470092950047,7,88,21,68837,95,68858,28,68925,61.31336626839589
doimhin,gleann,9,755,15,5.776027272902348,4.776027272902348,9,746,6,68192,755,68198,15,68938,61.30707423630128
bhriain,uí,19,2137,58,3.401901026937197,2.401901026937197,19,2118,39,66777,2137,66816,58,68895,61.24697890675005
eachach,uíbh,4,15,6,11.581472604951319,10.581472604951319,4,11,2,68936,15,68938,6,68947,61.00386925178759
fear,mainistir,6,143,10,8.176488770336398,7.176488770336398,6,137,4,68806,143,68810,10,68943,60.95053122162297
fhirdhia,átha,6,437,6,7.301836231780397,6.301836231780397,6,431,0,68516,437,68516,6,68947,60.81720375075115
bhuí,charraig,15,251,224,4.201317820881137,3.201317820881137,15,236,209,68493,251,68702,224,68729,60.73878001251269
phádraig,cill,29,2693,125,2.570523897244808,1.570523897244808,29,2664,96,66164,2693,66260,125,68828,60.535062606744134
chliabh,droim,9,1146,12,5.495896873245246,4.495896873245246,9,1137,3,67804,1146,67807,12,68941,60.42208012464498
míde,cill,11,2693,13,4.437319087275528,3.4373190872755277,11,2682,2,66258,2693,66260,13,68940,60.38048275324239
capall,poll,11,394,53,5.182785045898717,4.182785045898717,11,383,42,68517,394,68559,53,68900,60.26959716729228
moling,tigh,8,285,21,6.52619016945013,5.52619016945013,8,277,13,68655,285,68668,21,68932,60.239309694105266
tó,ráth,8,1086,9,5.818592312034321,4.818592312034321,8,1078,1,67866,1086,67867,9,68944,60.225472023635
catha,cluain,12,1448,24,4.573479814197789,3.573479814197789,12,1436,12,67493,1448,67505,24,68929,60.049603835868524
liath,chloch,12,95,295,4.883861449422,3.8838614494219996,12,83,283,68575,95,68858,295,68658,60.005653727183
ghobhair,achadh,6,477,6,7.175480245275483,6.175480245275483,6,471,0,68476,477,68476,6,68947,59.75923485085481
éalaigh,síol,4,14,7,11.458615857165787,10.458615857165787,4,10,3,68936,14,68939,7,68946,59.72746454514379
