w2,w1,count_w1_w2,count_w1,count_w2,pmi,sppmi,k11,k12,k21,k22,row1,row2,col1,col2,LLR_Score
siúl,seisceann,2,13,2,12.372885983139902,11.372885983139902,2,11,0,68940,13,68940,2,68951,34.62967626457906
thíre,earra,2,2,13,12.372885983139902,11.372885983139902,2,0,11,68940,2,68951,13,68940,34.62967626457906
chonnaidh,ceapaigh,4,42,36,7.511083277059922,6.511083277059922,4,38,32,68879,42,68911,36,68917,34.540890756035765
choire,binn,5,125,36,6.259544510063958,5.259544510063958,5,120,31,68797,125,68828,36,68917,34.42727325059073
róistigh,baile,22,8348,47,1.9509535830808196,0.9509535830808196,22,8326,25,60580,8348,60605,47,68906,34.42620729838468
loiscthe,teampall,8,305,86,4.3943955141286475,3.3943955141286475,8,297,78,68570,305,68648,86,68867,34.38841907127877
sáile,cionn,4,109,15,7.39825078089555,6.39825078089555,4,105,11,68833,109,68844,15,68938,34.38312239155597
buí,tulaí,4,6,364,6.980568560361142,5.980568560361142,4,2,360,68587,6,68947,364,68589,34.37886809482904
eilpe,craobh,2,14,2,12.26597077922339,11.26597077922339,2,12,0,68939,14,68939,2,68951,34.308817922710624
laoise,mainistir,4,143,12,7.32849186378145,6.32849186378145,4,139,8,68802,143,68810,12,68941,34.29535036454101
ramhar,ré,5,75,60,6.259544510063958,5.259544510063958,5,70,55,68823,75,68878,60,68893,34.26901994374969
mhártain,craobh,3,14,22,9.39150166130725,8.39150166130725,3,11,19,68920,14,68939,22,68931,34.18759327491689
ailí,cathair,5,341,15,6.0747352715356655,5.0747352715356655,5,336,10,68602,341,68612,15,68938,34.16857640333271
bharra,cill,9,2693,18,3.6783271867793226,2.6783271867793226,9,2684,9,66251,2693,66260,18,68935,34.1602805716533
phádraig,teampall,9,305,125,4.024800985610971,3.0248009856109714,9,296,116,68532,305,68648,125,68828,34.14625953863214
úr,baile,17,8348,30,2.2266830617629805,1.2266830617629805,17,8331,13,60592,8348,60605,30,68923,34.113417977685145
droinne,cnoc,5,2293,5,4.9103050617002015,3.9103050617002015,5,2288,0,66660,2293,66660,5,68948,34.04618919829997
caollaí,mac,4,980,4,6.136687762278425,5.136687762278425,4,976,0,67973,980,67973,4,68949,34.0451393056333
cumhaill,mac,4,980,4,6.136687762278425,5.136687762278425,4,976,0,67973,980,67973,4,68949,34.0451393056333
nóis,mac,4,980,4,6.136687762278425,5.136687762278425,4,976,0,67973,980,67973,4,68949,34.0451393056333
fhlannchaidh,mac,4,980,4,6.136687762278425,5.136687762278425,4,976,0,67973,980,67973,4,68949,34.0451393056333
shéafraidh,mac,4,980,4,6.136687762278425,5.136687762278425,4,976,0,67973,980,67973,4,68949,34.0451393056333
thriúin,mac,4,980,4,6.136687762278425,5.136687762278425,4,976,0,67973,980,67973,4,68949,34.0451393056333
andáin,mac,4,980,4,6.136687762278425,5.136687762278425,4,976,0,67973,980,67973,4,68949,34.0451393056333
coitir,mac,4,980,4,6.136687762278425,5.136687762278425,4,976,0,67973,980,67973,4,68949,34.0451393056333
caithne,ard,4,527,5,6.709738454756418,5.709738454756418,4,523,1,68425,527,68426,5,68948,34.033248677721794
mór,órán,6,7,2525,4.548865607418027,3.548865607418027,6,1,2519,66427,7,68946,2525,66428,34.03276619883232
aird,mine,3,5,79,9.032579358937685,8.032579358937685,3,2,76,68872,5,68948,79,68874,34.01995367815033
aird,feá,3,5,79,9.032579358937685,8.032579358937685,3,2,76,68872,5,68948,79,68874,34.01995367815033
eine,áth,4,381,6,6.914716013066516,5.914716013066516,4,377,2,68570,381,68572,6,68947,34.01272012948435
mhéabha,phite,2,2,15,12.166435105672477,11.166435105672477,2,0,13,68938,2,68951,15,68938,34.01184081796904
superior,cholmáin,2,15,2,12.166435105672477,11.166435105672477,2,13,0,68938,15,68938,2,68951,34.01184081796904
uíbh,eoghain,2,15,2,12.166435105672477,11.166435105672477,2,13,0,68938,15,68938,2,68951,34.01184081796904
mhanaigh,raithean,2,2,15,12.166435105672477,11.166435105672477,2,0,13,68938,2,68951,15,68938,34.01184081796904
fhathaidh,uíbh,2,15,2,12.166435105672477,11.166435105672477,2,13,0,68938,15,68938,2,68951,34.01184081796904
inferior,cholmáin,2,15,2,12.166435105672477,11.166435105672477,2,13,0,68938,15,68938,2,68951,34.01184081796904
chnoc,sléibhte,3,7,50,9.207077090169822,8.207077090169822,3,4,47,68899,7,68946,50,68903,34.00326762362707
caoin,ros,10,371,141,3.7204270671487603,2.7204270671487603,10,361,131,68451,371,68582,141,68812,33.95002757617928
tulaí,loch,8,1826,18,4.068929649854461,3.0689296498544607,8,1818,10,67117,1826,67127,18,68935,33.93880695957333
coille,baile,59,8348,223,1.1278539655626962,0.12785396556269624,59,8289,164,60441,8348,60605,223,68730,33.92040025609991
lis,ceann,5,251,20,6.101782147330222,5.101782147330222,5,246,15,68687,251,68702,20,68933,33.87101607470325
stuac,barr,3,246,3,8.130811195941755,7.130811195941755,3,243,0,68707,246,68707,3,68950,33.85169761158157
craí,barr,3,246,3,8.130811195941755,7.130811195941755,3,243,0,68707,246,68707,3,68950,33.85169761158157
mianach,barr,3,246,3,8.130811195941755,7.130811195941755,3,243,0,68707,246,68707,3,68950,33.85169761158157
bán,geata,6,32,323,5.322897847308226,4.322897847308226,6,26,317,68604,32,68921,323,68630,33.82868106092005
bhoithe,garraí,4,308,7,6.999184238528489,5.999184238528489,4,304,3,68642,308,68645,7,68946,33.80638717258053
mhálartaigh,baile,8,8348,8,3.046110816121159,2.046110816121159,8,8340,0,60605,8348,60605,8,68945,33.78919073461131
achaidh,uachtar,4,32,52,7.372885983139903,6.372885983139903,4,28,48,68873,32,68921,52,68901,33.760877921198976
dhearga,acra,2,16,2,12.073325701280996,11.073325701280996,2,14,0,68937,16,68937,2,68951,33.73542967459795
ghréine,aosa,2,2,16,12.073325701280996,11.073325701280996,2,0,14,68937,2,68951,16,68937,33.73542967459795
dhubhbaile,charraig,3,251,3,8.101782147330223,7.101782147330223,3,248,0,68702,251,68702,3,68950,33.730234480473314
chluana,coill,7,896,22,4.613894082643697,3.6138940826436974,7,889,15,68042,896,68057,22,68931,33.727242340231186
riobaird,baile,12,8348,16,2.631073316842316,1.6310733168423162,12,8336,4,60601,8348,60605,16,68937,33.7251410275291
naofa,choill,4,258,8,7.062098445857741,6.062098445857741,4,254,4,68691,258,68695,8,68945,33.7070443608451
míle,dtrí,3,12,28,9.265970779223391,8.265970779223391,3,9,25,68916,12,68941,28,68925,33.697775107605
phúca,poll,7,394,46,4.73506684782521,3.73506684782521,7,387,39,68520,394,68559,46,68907,33.63673158166587
mach,coillte,3,65,6,9.05095788825254,8.05095788825254,3,62,3,68885,65,68888,6,68947,33.628902077791565
gconaolach,shruthán,2,7,3,12.681008278502235,11.681008278502235,2,5,1,68945,7,68946,3,68950,33.59736062160028
ríoga,dair,2,3,7,12.681008278502235,11.681008278502235,2,1,5,68945,3,68950,7,68946,33.597360621600274
hoirí,srón,2,17,2,11.985862860030656,10.985862860030656,2,15,0,68936,17,68936,2,68951,33.47691589220603
chuillinn,cill,7,2693,10,4.163754013949564,3.163754013949564,7,2686,3,66257,2693,66260,10,68943,33.43741304992278
beag,bhuaile,15,99,1558,2.7453801587482345,1.7453801587482345,15,84,1543,67311,99,68854,1558,67395,33.432595211200194
síge,pointe,3,126,4,8.681008278502235,7.681008278502235,3,123,1,68826,126,68827,4,68949,33.4061525544579
chaisleáin,radharc,4,11,179,7.130078305379442,6.130078305379442,4,7,175,68767,11,68942,179,68774,33.33516493544481
thíre,mac,6,980,13,5.021210544858488,4.021210544858488,6,974,7,67966,980,67973,13,68940,33.334189599707734
fionnlocha,cluain,5,1448,6,5.310445408363996,4.310445408363996,5,1443,1,67504,1448,67505,6,68947,33.284908376644346
boireann,cluain,5,1448,6,5.310445408363996,4.310445408363996,5,1443,1,67504,1448,67505,6,68947,33.284908376644346
cath,cluain,5,1448,6,5.310445408363996,4.310445408363996,5,1443,1,67504,1448,67505,6,68947,33.284908376644346
loiscthe,bhoth,4,21,86,7.254743523800137,6.254743523800137,4,17,82,68850,21,68932,86,68867,33.273563627988395
fhionnúrach,cill,6,2693,7,4.455934765442875,3.4559347654428754,6,2687,1,66259,2693,66260,7,68946,33.26396293665858
caoi,cill,6,2693,7,4.455934765442875,3.4559347654428754,6,2687,1,66259,2693,66260,7,68946,33.26396293665858
mochuma,cill,6,2693,7,4.455934765442875,3.4559347654428754,6,2687,1,66259,2693,66260,7,68946,33.26396293665858
ridire,riaráiste,2,2,18,11.903400699838683,10.903400699838683,2,0,16,68935,2,68951,18,68935,33.23411938446867
dúna,corras,2,2,18,11.903400699838683,10.903400699838683,2,0,16,68935,2,68951,18,68935,33.23411938446867
laighean,stua,2,2,18,11.903400699838683,10.903400699838683,2,0,16,68935,2,68951,18,68935,33.23411938446867
choinlín,glais,2,18,2,11.903400699838683,10.903400699838683,2,16,0,68935,18,68935,2,68951,33.23411938446867
tamhnach,maí,2,18,2,11.903400699838683,10.903400699838683,2,16,0,68935,18,68935,2,68951,33.23411938446867
moliain,ráth,4,1086,4,5.988517313476634,4.988517313476634,4,1082,0,67867,1086,67867,4,68949,33.22191017272613
ceannaigh,ráth,4,1086,4,5.988517313476634,4.988517313476634,4,1082,0,67867,1086,67867,4,68949,33.22191017272613
gcormaic,ráth,4,1086,4,5.988517313476634,4.988517313476634,4,1082,0,67867,1086,67867,4,68949,33.22191017272613
mobheóg,ráth,4,1086,4,5.988517313476634,4.988517313476634,4,1082,0,67867,1086,67867,4,68949,33.22191017272613
munna,tigh,5,285,19,5.992508173672668,4.992508173672668,5,280,14,68654,285,68668,19,68934,33.18804150272667
banbh,cluain,6,1448,10,4.836514220031583,3.8365142200315834,6,1442,4,67501,1448,67505,10,68943,33.09213902044928
chraithín,cúl,5,886,8,5.6040909076133385,4.6040909076133385,5,881,3,68064,886,68067,8,68945,33.06469215092995
eascrach,áth,5,381,15,5.914716013066516,4.914716013066516,5,376,10,68562,381,68572,15,68938,33.063302416374874
phrióra,coill,7,896,23,4.549763745223982,3.5497637452239816,7,889,16,68041,896,68057,23,68930,33.00767130882258
bainne,cis,2,2,19,11.82539818783741,10.82539818783741,2,0,17,68934,2,68951,19,68934,33.00523604665006
bréanainn,uamh,2,2,19,11.82539818783741,10.82539818783741,2,0,17,68934,2,68951,19,68934,33.00523604665006
abbott,tóchair,2,8,3,12.488363200559839,11.488363200559839,2,6,1,68944,8,68945,3,68950,32.97580155657587
bhearach,bhó,2,8,3,12.488363200559839,11.488363200559839,2,6,1,68944,8,68945,3,68950,32.97580155657587
bána,cúla,2,3,8,12.488363200559839,11.488363200559839,2,1,6,68944,3,68950,8,68945,32.97580155657586
fiachna,tigh,3,285,3,7.918507592228891,6.918507592228891,3,282,0,68668,285,68668,3,68950,32.96370708276383
dachoinne,tigh,3,285,3,7.918507592228891,6.918507592228891,3,282,0,68668,285,68668,3,68950,32.96370708276383
huamha,corr,6,503,23,5.160311656139611,4.160311656139611,6,497,17,68433,503,68450,23,68930,32.962055670099915
catháin,lios,4,1124,4,5.938899381060069,4.938899381060069,4,1120,0,67829,1124,67829,4,68949,32.946270637826984
ceannúir,lios,4,1124,4,5.938899381060069,4.938899381060069,4,1120,0,67829,1124,67829,4,68949,32.946270637826984
scarbhach,átha,4,437,6,6.71687373105924,5.71687373105924,4,433,2,68514,437,68516,6,68947,32.913500598554215
cillín,tigh,4,285,8,6.918507592228891,5.918507592228891,4,281,4,68664,285,68668,8,68945,32.90801899071394
choim,gleann,5,755,9,5.664995960513604,4.664995960513604,5,750,4,68194,755,68198,9,68944,32.899642816060265
íochtarach,rua,11,79,931,3.366339214182396,2.366339214182396,11,68,920,67954,79,68874,931,68022,32.89896017843344
lonáin,easpaig,3,22,17,9.111393742114515,8.111393742114515,3,19,14,68917,22,68931,17,68936,32.89350793362657
liag,dumha,4,33,56,7.221576659864938,6.221576659864938,4,29,52,68868,33,68920,56,68897,32.88695061948777
loingsigh,uí,6,2137,8,4.596917009342341,3.5969170093423406,6,2131,2,66814,2137,66816,8,68945,32.83282698433051
mhada,oileán,6,786,16,5.0399026997435445,4.0399026997435445,6,780,10,68157,786,68167,16,68937,32.79362291375423
